,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,0.0,1,0.4499837244143256,0.46101751186127193,0.295,0.26197883882798156,0.5499111633194079,0,interleaved,
1,Training,0.0,1,0.462248163841191,0.48030025462033166,0.284375,0.241935999729393,0.5389718196009374,0,interleaved,
2,Test,0.0,1,0.40092596670686376,0.3838865408250333,0.3375,0.34215019522233564,0.59366853819329,0,interleaved,1.0
3,All,0.0,1,0.4748052296131099,0.49381236619105906,0.29,0.24154686099141923,0.52494634173692,0,blocked,
4,Training,0.0,1,0.48098538872997554,0.5017928719721587,0.2875,0.23434038748435065,0.5270176919924389,0,blocked,
5,Test,0.0,1,0.45008459314564747,0.4618903430666602,0.3,0.2703727550196936,0.5166609407148448,0,blocked,1.0
6,All,0.0,1,0.4755644229744985,0.4750061828898805,0.2175,0.19286478475580648,0.5583829295814461,0,early,
7,Training,0.0,1,0.48791225951920375,0.49136623083968284,0.19375,0.17509020270028192,0.5465175648986357,0,early,
8,Test,0.0,1,0.42617307679567745,0.40956599109067104,0.3125,0.26396311297790465,0.6058443883126874,0,early,1.0
9,All,0.0,1,0.43213032441302085,0.41179521809267217,0.3425,0.2953795312612412,0.5417087485638709,0,middle,
10,Training,0.0,1,0.4365369921417414,0.42032358749489046,0.303125,0.26180058720712396,0.5259498336918549,0,middle,
11,Test,0.0,1,0.41450365349813856,0.3776817404837991,0.5,0.4296953074777104,0.6047444080519344,0,middle,1.0
12,All,0.0,1,0.5028943243197124,0.5247260519920546,0.1175,0.12109147827715734,0.5264621917910338,0,late,
13,Training,0.0,1,0.5073774684734844,0.5293091176427275,0.109375,0.1129002257717742,0.5142272247918471,0,late,
14,Test,0.0,1,0.48496174770462375,0.5063937893893632,0.15,0.15385648829868986,0.5754020597877811,0,late,1.0
15,All,0.0,1,0.4397098645772692,0.43410249622703306,0.3125,0.2668012264479801,0.5638560644326214,1,interleaved,
16,Training,0.0,1,0.44678091025595423,0.44478554684908744,0.284375,0.24720963192203463,0.5538005504986493,1,interleaved,
17,Test,0.0,1,0.4114256818625286,0.391370293738816,0.425,0.34516760455176215,0.6040781201685099,1,interleaved,1.0
18,All,0.0,1,0.42341890235834884,0.40230182227015093,0.245,0.21768627491845421,0.5843774831960131,1,blocked,
19,Training,0.0,1,0.43144748384056764,0.4158519448080609,0.215625,0.1997077889901951,0.5675997443779524,1,blocked,
20,Test,0.0,1,0.3913045764294737,0.34810133211851096,0.3625,0.28960021863149066,0.6514884384682563,1,blocked,1.0
21,All,0.0,1,0.50067043184101,0.4772192436563577,0.29,0.25342520052776824,0.5034720798928989,1,early,
22,Training,0.0,1,0.5048324218696308,0.49043786679530293,0.253125,0.22945065726213237,0.5044938384162421,1,early,
23,Test,0.0,1,0.4840224717265268,0.42434475110057635,0.4375,0.34932337359031174,0.4993850457995265,1,early,1.0
24,All,0.0,1,0.45643367461728257,0.414719512230609,0.325,0.27462939539256254,0.5313596903386102,1,middle,
25,Training,0.0,1,0.46174764314648953,0.4304562820937104,0.30625,0.25428883850735967,0.5232786868465074,1,middle,
26,Test,0.0,1,0.4351778005004547,0.35177243277820314,0.4,0.35599162293337405,0.5636837043070217,1,middle,1.0
27,All,0.0,1,0.47735159131283794,0.4418004060910528,0.2275,0.20834774242419912,0.4629888789427223,1,late,
28,Training,0.0,1,0.48527438846823806,0.4565618065002777,0.221875,0.19972550306464187,0.46243175290549504,1,late,
29,Test,0.0,1,0.445660402691238,0.38275480445415316,0.25,0.24283669986242815,0.46521738309163096,1,late,1.0
30,All,0.0,1,0.4653028874340107,0.4709436797912393,0.1775,0.16531598998266275,0.5259325264804098,2,interleaved,
31,Training,0.0,1,0.47231933930346515,0.4811670225082699,0.16875,0.16063697860252796,0.5177633013671257,2,interleaved,
32,Test,0.0,1,0.4372370799561925,0.4300503089231166,0.2125,0.18403203550320182,0.5586094269335466,2,interleaved,1.0
33,All,0.0,1,0.455032227110468,0.44562868867277133,0.4625,0.40386430120885974,0.6010448492395283,2,blocked,
34,Training,0.0,1,0.46155491030268003,0.45160898066527333,0.45625,0.4014789298947507,0.6102302478807189,2,blocked,
35,Test,0.0,1,0.42894149434162016,0.4217075207027635,0.4875,0.41340578646529574,0.5643032546747653,2,blocked,1.0
36,All,0.0,1,0.45478991809846275,0.4423761424065051,0.22,0.18829327486637604,0.5239726831581539,2,early,
37,Training,0.0,1,0.4642178564677796,0.4587825231813028,0.2,0.16674750830130672,0.5196875502396865,2,early,
38,Test,0.0,1,0.41707816462119546,0.3767506193073145,0.3,0.2744763411266531,0.541113214832024,2,early,1.0
39,All,0.0,1,0.4309625932469721,0.4266539115902476,0.3,0.2621429711262827,0.5205019022404975,2,middle,
