,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,0.0,1,0.5750547721520447,0.6032884666743875,0.255,0.23002152346191315,0.5524509807666915,0,interleaved,
1,Training,0.0,1,0.5918659447299632,0.6224538214759535,0.21875,0.20304669340235657,0.5334926013584967,0,interleaved,
2,Test,0.0,1,0.5078100818403709,0.5266270474681227,0.4,0.3379208437001396,0.6282844983994706,0,interleaved,1.0
3,All,0.0,1,0.5753066602690682,0.5965317908386584,0.305,0.2806133386524675,0.6257962212465307,0,blocked,
4,Training,0.0,1,0.5798503353010271,0.6055846256175086,0.296875,0.27043958624446895,0.6226086773653468,0,blocked,
5,Test,0.0,1,0.5571319601412321,0.5603204517232576,0.3375,0.3213083482844616,0.6385463967712665,0,blocked,1.0
6,All,0.0,1,0.5861318948413291,0.6212988675418145,0.2475,0.2512311828883898,0.5446931513012708,0,early,
7,Training,0.0,1,0.5925214523790687,0.6363062016766954,0.225,0.23178179836952534,0.5244250585976282,0,early,
8,Test,0.0,1,0.5605736646903704,0.561269531002291,0.3375,0.32902872096384755,0.6257655221158407,0,early,1.0
9,All,0.0,1,0.6249002743682427,0.6488304386869911,0.37,0.33336082812539913,0.629237450780986,0,middle,
10,Training,0.0,1,0.6348589194279355,0.6670789957429408,0.371875,0.32943269909238815,0.6299957013785453,0,middle,
11,Test,0.0,1,0.5850656941294712,0.5758362104631916,0.3625,0.349073344257443,0.6262044483907484,0,middle,1.0
12,All,0.0,1,0.61627996440051,0.6845914094518991,0.2125,0.2087543623671574,0.5338900437900648,0,late,
13,Training,0.0,1,0.6306862475617021,0.7046098119094182,0.21875,0.2088122379829777,0.5545702924094777,0,late,
14,Test,0.0,1,0.5586548317557419,0.6045177996218228,0.1875,0.20852285990387615,0.4511690493124128,0,late,1.0
15,All,0.0,1,0.6626844327695869,0.7568878702899905,0.2575,0.2546094950113711,0.5505021470608273,1,interleaved,
16,Training,0.0,1,0.6699300976812961,0.7663873796418816,0.253125,0.24773961676997355,0.5470720818728495,1,interleaved,
17,Test,0.0,1,0.6337017731227497,0.7188898328824258,0.275,0.28208900797696124,0.5642224078127389,1,interleaved,1.0
18,All,0.0,1,0.6215705852108168,0.6444200902386638,0.355,0.32836711819504755,0.6379215661210732,1,blocked,
19,Training,0.0,1,0.6234405450812461,0.6492389342330837,0.340625,0.3177495512219023,0.6249595796638167,1,blocked,
20,Test,0.0,1,0.6140907457290994,0.6251447142609837,0.4125,0.37083738608762856,0.6897695119500993,1,blocked,1.0
21,All,0.0,1,0.6318869325436512,0.6929706730748331,0.285,0.26652427043318894,0.5581010861193129,1,early,
22,Training,0.0,1,0.6399068420658501,0.7082771986997223,0.259375,0.24317576718804643,0.5529060975135414,1,early,
23,Test,0.0,1,0.5998072944548553,0.631744570575276,0.3875,0.35991828341375887,0.5788810405423991,1,early,1.0
24,All,0.0,1,0.5487737979022175,0.5715636884633608,0.2975,0.27518373607207225,0.5483627843135378,1,middle,
25,Training,0.0,1,0.5554181555567042,0.5829105090565724,0.309375,0.28093896996797246,0.5506567612789581,1,middle,
26,Test,0.0,1,0.5221963672842711,0.5261764060905143,0.25,0.2521628004884714,0.5391868764518566,1,middle,1.0
27,All,0.0,1,0.5905723341792763,0.6451326396759882,0.31,0.2978694976208612,0.6361655651615243,1,late,
28,Training,0.0,1,0.5914539869004168,0.6485944119805439,0.30625,0.29520536938078923,0.6307466213917161,1,late,
29,Test,0.0,1,0.5870457232947148,0.6312855504577654,0.325,0.3085260105811491,0.6578413402407569,1,late,1.0
30,All,0.0,1,0.6557732818897288,0.6981619704782187,0.2725,0.25811440155019816,0.6445609525986785,2,interleaved,
31,Training,0.0,1,0.6671491239371062,0.7193000540725437,0.24375,0.23218897318073176,0.6382999231914471,2,interleaved,
32,Test,0.0,1,0.6102699137002197,0.6136096361009181,0.3875,0.36181611502806355,0.6696050702276032,2,interleaved,1.0
33,All,0.0,1,0.5776827316878687,0.6138030185094663,0.315,0.2849844753042622,0.6527824235820084,2,blocked,
34,Training,0.0,1,0.5812507811836606,0.6206776053658868,0.30625,0.27461717415397546,0.6561043408477572,2,blocked,
35,Test,0.0,1,0.5634105337047016,0.5863046710837841,0.35,0.3264536799054093,0.6394947545190133,2,blocked,1.0
36,All,0.0,1,0.5978380272822329,0.652643401407677,0.29,0.2717994913648388,0.5483088117277308,2,early,
37,Training,0.0,1,0.6133000058639905,0.6742211533892688,0.275,0.2572589649839873,0.5361501939663879,2,early,
38,Test,0.0,1,0.5359901129552027,0.5663323934813104,0.35,0.32996159688824445,0.5969432827731028,2,early,1.0
39,All,0.0,1,0.5868779914482197,0.6226445734203788,0.275,0.26265477681371,0.5382213834890179,2,middle,
40,Training,0.0,1,0.593459128202096,0.6414569657708604,0.278125,0.2571217570113956,0.5361542401906627,2,middle,
41,Test,0.0,1,0.560553444432715,0.5473950040184525,0.2625,0.28478685602296766,0.5464899566824386,2,middle,1.0
42,All,0.0,1,0.5665858771536617,0.5934036634324004,0.3075,0.2936306721638858,0.6064085932886072,2,late,
43,Training,0.0,1,0.5777487979245501,0.6105772751787308,0.296875,0.2815358036169765,0.6070922663618549,2,late,
44,Test,0.0,1,0.521934194070108,0.5247092164470788,0.35,0.34201014635152255,0.6036739009956165,2,late,1.0
45,All,0.0,1,0.5841794888363352,0.6020604363425716,0.385,0.3360852961094632,0.5632596814606425,3,interleaved,
46,Training,0.0,1,0.5941355527035963,0.6206085098263283,0.359375,0.3166905334521493,0.5429494164533752,3,interleaved,
47,Test,0.0,1,0.5443552333672905,0.527868142407545,0.4875,0.4136643467387186,0.6445007414897119,3,interleaved,1.0
48,All,0.0,1,0.6610506838552942,0.7714618593910053,0.28,0.27225817516416645,0.6309721393482881,3,blocked,
49,Training,0.0,1,0.6557817297806002,0.7646715120400823,0.290625,0.28831629219814386,0.6522011767589164,3,blocked,
50,Test,0.0,1,0.6821265001540701,0.7986232487946975,0.2375,0.20802570702825687,0.5460559897057751,3,blocked,1.0
51,All,0.0,1,0.6881213873520953,0.7513897088176904,0.2775,0.2648436673582412,0.5480703100009204,3,early,
52,Training,0.0,1,0.6967694073631818,0.7701243074345163,0.25625,0.24426521726742467,0.5286944378623455,3,early,
53,Test,0.0,1,0.6535293073077492,0.6764513143503873,0.3625,0.34715746772150724,0.62557379855522,3,early,1.0
54,All,0.0,1,0.595818370931792,0.6487588991002127,0.2475,0.23368728220751755,0.548592165272902,3,middle,
55,Training,0.0,1,0.5919935464479411,0.6418288680382112,0.275,0.255262074025429,0.5690546870155531,3,middle,
56,Test,0.0,1,0.6111176688671957,0.6764790233482195,0.1375,0.1473881149358717,0.46674207830229725,3,middle,1.0
57,All,0.0,1,0.5652698737983687,0.5955639069687058,0.33,0.3018162684753346,0.5870896779928835,3,late,
58,Training,0.0,1,0.574958753836365,0.6142549384251785,0.30625,0.27913867656037444,0.5696647862552242,3,late,
59,Test,0.0,1,0.5265143536463829,0.5207997811428153,0.425,0.39252663613517536,0.656789244943521,3,late,1.0
60,All,0.0,1,0.6473322538042521,0.6983474833284933,0.21,0.20696865047121096,0.5257899504579091,4,interleaved,
61,Training,0.0,1,0.6633526703529544,0.7261190596472742,0.20625,0.20264142518201042,0.5216147927356958,4,interleaved,
62,Test,0.0,1,0.5832505876094424,0.5872611780533696,0.225,0.22427755162801305,0.5424905813467625,4,interleaved,1.0
63,All,0.0,1,0.5665433563137813,0.6107036657640315,0.3175,0.2745221596161266,0.5537251801190842,4,blocked,
64,Training,0.0,1,0.5675691412705445,0.6210557335661043,0.315625,0.26707775905978054,0.5599570321690243,4,blocked,
65,Test,0.0,1,0.562440216486729,0.5692953945557401,0.325,0.3042997618415108,0.5287977719193244,4,blocked,1.0
66,All,0.0,1,0.6200015350356441,0.7018419828720782,0.255,0.2451936160962654,0.5381908318355776,4,early,
67,Training,0.0,1,0.6188828898698676,0.7008806914414377,0.25625,0.24543240091250967,0.5355019853074949,4,early,
68,Test,0.0,1,0.6244761156987501,0.70568714859464,0.25,0.24423847683128827,0.5489462179479083,4,early,1.0
69,All,0.0,1,0.5663708414606019,0.5953989918287201,0.2675,0.25670846121208235,0.5602806096567892,4,middle,
70,Training,0.0,1,0.5767454948898093,0.6101080849861317,0.2625,0.25098696630075323,0.5622713431653094,4,middle,
71,Test,0.0,1,0.5248722277437722,0.5365626191990733,0.2875,0.27959444085739876,0.5523176756227087,4,middle,1.0
72,All,0.0,1,0.6157377916486702,0.6496824723789055,0.335,0.32327701340872395,0.66099679702425,4,late,
73,Training,0.0,1,0.6232622922163343,0.6633598390777637,0.31875,0.3137432686557733,0.6623889714786246,4,late,
74,Test,0.0,1,0.5856397893780134,0.5949730055834728,0.4,0.3614119924205267,0.6554280992067516,4,late,1.0
75,All,0.0,1,0.5663731753204192,0.605660902496714,0.2725,0.25554521171301353,0.48314625058130817,5,interleaved,
76,Training,0.0,1,0.5739410209474878,0.6153485503323972,0.2625,0.24404649360259217,0.47344748354282373,5,interleaved,
77,Test,0.0,1,0.5361017928121451,0.5669103111539815,0.3125,0.3015400841546989,0.5219413187352457,5,interleaved,1.0
78,All,0.0,1,0.6008187579020523,0.6423730346045013,0.36,0.34482390625082177,0.5611631042901487,5,blocked,
79,Training,0.0,1,0.6042527431163088,0.6488987306267759,0.36875,0.3568432881892184,0.5712747582902072,5,blocked,
80,Test,0.0,1,0.5870828170450264,0.6162702505154035,0.325,0.2967463784972351,0.520716488289915,5,blocked,1.0
81,All,0.0,1,0.6024934712208913,0.6269592640815611,0.275,0.2709831580326141,0.6305465957529149,5,early,
82,Training,0.0,1,0.6109492130401136,0.64255732662362,0.290625,0.2780433600093644,0.6296580620857688,5,early,
83,Test,0.0,1,0.5686705039440019,0.564567013913326,0.2125,0.24274235012561257,0.6341007304214995,5,early,1.0
84,All,0.0,1,0.6218317006003982,0.687574542162426,0.2375,0.22472137971406184,0.5505353078084235,5,middle,
85,Training,0.0,1,0.6304950992647013,0.7045042236938597,0.225,0.21821346663869018,0.5493368216078489,5,middle,
86,Test,0.0,1,0.5871781059431852,0.6198558160366909,0.2875,0.2507530320155488,0.5553292526107217,5,middle,1.0
87,All,0.0,1,0.6602505693593139,0.7307251051544341,0.2325,0.23231956032084305,0.5601208159611782,5,late,
88,Training,0.0,1,0.6515075261311715,0.725548806134511,0.234375,0.23131762371578662,0.5572768260439215,5,late,
89,Test,0.0,1,0.6952227422718835,0.751430301234126,0.225,0.23632730674106872,0.571496775630205,5,late,1.0
90,All,0.0,1,0.623899920588578,0.6879391458862437,0.2925,0.27264194005233866,0.5386059658273328,6,interleaved,
91,Training,0.0,1,0.6181103130150452,0.6805803000829681,0.3,0.2821032337641916,0.551932000467185,6,interleaved,
92,Test,0.0,1,0.6470583508827087,0.7173745290993463,0.2625,0.23479676520492684,0.4853018272679238,6,interleaved,1.0
93,All,0.0,1,0.5913512724035423,0.6418393447969979,0.34,0.3025392535213928,0.5845046270523148,6,blocked,
94,Training,0.0,1,0.6013992305900056,0.6610982094289881,0.309375,0.28243030882838294,0.5641667340840126,6,blocked,
95,Test,0.0,1,0.5511594396576901,0.5648038862690374,0.4625,0.38297503229343266,0.6658561989255233,6,blocked,1.0
96,All,0.0,1,0.6387610860649325,0.6896045291608214,0.2975,0.27895700944893365,0.6611343697794217,6,early,
97,Training,0.0,1,0.6536476916714992,0.7163321032222312,0.26875,0.2594193236332553,0.6468084357630381,6,early,
98,Test,0.0,1,0.5792146636386664,0.5826942329151817,0.4125,0.35710775271164713,0.718438105844956,6,early,1.0
99,All,0.0,1,0.6089211502400014,0.6729201407087889,0.305,0.2853513715591782,0.5759045118113274,6,middle,
100,Training,0.0,1,0.6163700317670348,0.6843600311911274,0.28125,0.2621354154306406,0.5555056339411398,6,middle,
101,Test,0.0,1,0.5791256241318676,0.6271605787794352,0.4,0.37821519607332876,0.6575000232920779,6,middle,1.0
102,All,0.0,1,0.5914763978642493,0.6257892844797036,0.3475,0.3202497358638954,0.5856277801592347,6,late,
103,Training,0.0,1,0.6080352898707576,0.6527749299179024,0.3125,0.28702421436347614,0.5685486400022414,6,late,
104,Test,0.0,1,0.5252408298382156,0.5178467027269084,0.4875,0.4531518218655727,0.6539443407872085,6,late,1.0
105,All,0.0,1,0.6440380839481452,0.6952929478135073,0.23,0.21416421565014573,0.535123365396741,7,interleaved,
106,Training,0.0,1,0.6487367383140245,0.7101567443049148,0.209375,0.1973439370112407,0.5284554112332411,7,interleaved,
107,Test,0.0,1,0.6252434664846278,0.6358377618478773,0.3125,0.2814453302057659,0.5617951820507403,7,interleaved,1.0
108,All,0.0,1,0.6094670601013013,0.5995507627852923,0.385,0.33923555648943593,0.5995198496697185,7,blocked,
109,Training,0.0,1,0.6160189578717745,0.6161246728912093,0.371875,0.3317638561343156,0.61446369467393,7,blocked,
110,Test,0.0,1,0.5832594690194078,0.5332551223616241,0.4375,0.36912235790991743,0.5397444696528721,7,blocked,1.0
111,All,0.0,1,0.6396053746446483,0.6646953256667336,0.3425,0.32217281447162344,0.5993045358927612,7,early,
112,Training,0.0,1,0.6436131235055004,0.6696360488273259,0.346875,0.3205627689563389,0.5751911841375567,7,early,
113,Test,0.0,1,0.6235743792012396,0.6449324330243646,0.325,0.32861299653276166,0.6957579429135794,7,early,1.0
114,All,0.0,1,0.5817611855284229,0.6055568650321635,0.3325,0.3019464218122686,0.5751810131216806,7,middle,
115,Training,0.0,1,0.5861146198093359,0.6168500002952468,0.325,0.29587328090456716,0.5729521749542901,7,middle,
116,Test,0.0,1,0.5643474484047715,0.5603843239798308,0.3625,0.3262389854430741,0.5840963657912419,7,middle,1.0
117,All,0.0,1,0.6365881160097693,0.713704193881364,0.315,0.30528193648773067,0.5728111332678318,7,late,
