,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,0.0012233173288904065,25,0.5594333462005389,0.5697107281967678,0.08,0.10344498812725333,0.5058211899024145,0,interleaved,
1,Training,0.0010336295218821695,25,0.5874562491473392,0.5958492725148277,0.065625,0.09648262817101043,0.5137675977067879,0,interleaved,
2,Test,0.0,1,0.44734173441333724,0.46515655092452857,0.1375,0.13129442795222496,0.4740355586849209,0,interleaved,1.0
3,All,-0.0005736123014435433,2,0.45805875647505906,0.4601664563100056,0.2025,0.174900841340621,0.4797464819549765,0,blocked,
4,Training,-0.0009088441155295279,2,0.46988654082417125,0.4748125734708875,0.18125,0.1593169995354488,0.4753204874626268,0,blocked,
5,Test,0.0,1,0.41074761907861,0.401581987666478,0.2875,0.23723620856130986,0.497450459924376,0,blocked,1.0
6,All,0.00010052256656234894,3,0.46643522728617925,0.4613940987539612,0.06,0.08319924025916882,0.4934758446008855,0,early,
7,Training,0.0001572817003724216,3,0.47355133483686496,0.471549808046792,0.0625,0.08241711074036456,0.49599379091792456,0,early,
8,Test,0.0,1,0.43797079708343667,0.4207712615826383,0.05,0.0863277583343858,0.4834040593327297,0,early,1.0
9,All,0.0,1,0.45455969940427854,0.4349739586273442,0.175,0.15209321365158396,0.5359299027679217,0,middle,
10,Training,0.0,1,0.46312964068802637,0.449286046294522,0.15625,0.1401472070136076,0.5374277855481919,0,middle,
11,Test,0.0,1,0.4202799342692874,0.37772560795863297,0.25,0.19987724020348935,0.5299383716468411,0,middle,1.0
12,All,0.0,1,0.4300325672630796,0.43315063119082803,0.1575,0.1461336519133614,0.5148081437486156,0,late,
13,Training,0.0,1,0.4365494110169472,0.44497164951051305,0.15625,0.14163482530962535,0.5070305791932205,0,late,
14,Test,0.0,1,0.4039651922476091,0.38586655791208796,0.1625,0.16412895832830565,0.5459184019701968,0,late,1.0
15,All,0.00782968618258949,9,0.47107940766306033,0.42760161174379774,0.3075,0.21066682877929283,0.537942059623009,1,interleaved,
16,Training,0.002217726859486229,9,0.48411833549009264,0.4425622029672628,0.3125,0.20903579479547885,0.5386014966991779,1,interleaved,
17,Test,0.0,1,0.418923696354931,0.3677592468499379,0.2875,0.21719096471454855,0.5353043113183332,1,interleaved,1.0
18,All,0.001512186018839815,4,0.4456048123451985,0.4364377343330167,0.18,0.1489272363273933,0.5221855288084712,1,blocked,
19,Training,0.00110130967353051,4,0.45768899747825487,0.4527012674482309,0.178125,0.1457778133227457,0.5156599642904152,1,blocked,
20,Test,0.0,1,0.3972680718129733,0.3713836018721601,0.1875,0.1615249283459836,0.5482877868806957,1,blocked,1.0
21,All,0.020543960325565838,21,0.5138410897460399,0.5093669060119302,0.1175,0.12184685740797006,0.506684422903569,1,early,
22,Training,0.06725773745208044,21,0.5378448255319985,0.5351515338954123,0.125,0.12574723494499487,0.49884102580861234,1,early,
23,Test,0.0,1,0.4178261466022052,0.40622839447800246,0.0875,0.10624534725987082,0.5380580112833957,1,early,1.0
24,All,-0.0010015595707560166,9,0.4830214014016242,0.46142760030884944,0.1775,0.16007481274602228,0.49603775768845254,1,middle,
25,Training,-0.0007459117541129475,9,0.4974154552908463,0.4724618703818434,0.159375,0.15836389924961392,0.4976303694935981,1,middle,
26,Test,0.0,1,0.4254451858447358,0.41729052001687333,0.25,0.1669184667316556,0.48966731046787026,1,middle,1.0
27,All,0.0,1,0.472015374994325,0.46719349255361,0.1375,0.13957830748734107,0.5282093724275992,1,late,
28,Training,0.0,1,0.47674219782196176,0.47392458968269546,0.109375,0.12419033259797581,0.5194279772921184,1,late,
29,Test,0.0,1,0.4531080836837782,0.44026910403726804,0.25,0.20113020704480228,0.5633349529695222,1,late,1.0
30,All,8.958276960921792e-06,2,0.5049491425905346,0.5104460241074694,0.16,0.14182928895307476,0.4979666846401382,2,interleaved,
31,Training,-0.0003067457520137188,2,0.5170100828292473,0.5181492829537978,0.146875,0.13122914843990258,0.506269971809787,2,interleaved,
32,Test,0.0,1,0.45670538163568325,0.47963298872215654,0.2125,0.18422985100576336,0.4647535359615434,2,interleaved,1.0
33,All,-0.0007692831643181117,2,0.44615376726486655,0.48357171259479537,0.005,0.03912718105883304,0.5084426911246154,2,blocked,
34,Training,0.0,2,0.4523145783407186,0.4907212200118497,0.0,0.03383609750844952,0.5048776906477157,2,blocked,
35,Test,0.0,1,0.4215105229614581,0.4549736829265781,0.025,0.060291515260367155,0.5227026930322141,2,blocked,1.0
36,All,-0.000510409241996175,23,0.4971716030892836,0.5037627086789659,0.1725,0.1533960316742834,0.5255634133287767,2,early,
37,Training,0.040071110445012235,23,0.5175551107484013,0.5318093790837997,0.14375,0.13478573865494198,0.49521871656757793,2,early,
38,Test,0.0,1,0.4156375724528128,0.39157602705963085,0.2875,0.22783720375164895,0.6469422003735719,2,early,1.0
39,All,0.0,1,0.432874675975626,0.4110872617665264,0.175,0.1569411043759086,0.516844022639967,2,middle,
40,Training,0.0,1,0.44180207100684155,0.4230053452546877,0.165625,0.15603059571601077,0.5176765244614823,2,middle,
41,Test,0.0,1,0.3971650958507639,0.3634149278138813,0.2125,0.16058313901550006,0.513514015353906,2,middle,1.0
42,All,0.00041115584767402615,5,0.49700362840534,0.454363887131521,0.275,0.2262499707636398,0.5320366220863003,2,late,
43,Training,5.8998790525169856e-06,5,0.5087160145128429,0.4717244112956959,0.240625,0.21118491592661948,0.5256526146710065,2,late,
44,Test,0.0,1,0.45015408397532863,0.38492179047482156,0.4125,0.2865101901117211,0.5575726517474757,2,late,1.0
