,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,0.0,1,0.47970513002449056,0.49422197372645094,0.1775,0.15640808433073064,0.5343181844940497,0,interleaved,
1,Training,0.0,1,0.49054327731757996,0.5104894795244412,0.159375,0.14077900871813576,0.5327075323029586,0,interleaved,
2,Test,0.0,1,0.436352540852133,0.42915195053448985,0.25,0.21892438678111023,0.5407607932584139,0,interleaved,1.0
3,All,0.020937218952343666,12,0.49603142833479513,0.49162508621660966,0.1575,0.15007792461381114,0.5422478712450123,0,blocked,
4,Training,0.018424254905824153,12,0.5028894121178743,0.5001217201954262,0.13125,0.1340773389904491,0.5362318908915559,0,blocked,
5,Test,0.042728665121941636,3,0.468599493202478,0.45763855030134426,0.2625,0.21408026710725916,0.5663117926588381,0,blocked,1.0
6,All,0.001337834965436063,3,0.459631682187697,0.443409358955444,0.26,0.22598727395343224,0.529666878971323,0,early,
7,Training,0.0001572817003724216,3,0.46500309545775437,0.4517387132003126,0.253125,0.21746122643970142,0.5396179924346264,0,early,
8,Test,0.0,1,0.4381460291074677,0.4100919419759693,0.2875,0.2600914640083555,0.4898624251181095,0,early,1.0
9,All,-0.0002955948882061032,3,0.4542190259362412,0.4287813905837752,0.2525,0.22211947441440494,0.5484837827144647,0,middle,
10,Training,0.0001572817003724216,3,0.45984128386865053,0.4397782738801446,0.228125,0.20223854983772438,0.5500316526522394,0,middle,
11,Test,0.0,1,0.4317299942066039,0.38479385739829775,0.35,0.3016431727211272,0.5422923029633658,0,middle,1.0
12,All,3.7794123316342313e-06,7,0.41243407567956347,0.3927836366755998,0.2625,0.21996278475733316,0.5780138196558589,0,late,
13,Training,-0.0004544287623898715,7,0.42272597442087395,0.4091895411889051,0.24375,0.20123183629456376,0.5650376189567083,0,late,
14,Test,0.0,1,0.37126648071432167,0.32716001862237853,0.3375,0.2948865786084107,0.6299186224524604,0,late,1.0
15,All,0.0,1,0.42895368582174703,0.411728232161073,0.23,0.19804604691193692,0.5495495888283013,1,interleaved,
16,Training,0.0,1,0.4397398153241347,0.4244337268065458,0.215625,0.18956594761568224,0.5506779624464022,1,interleaved,
17,Test,0.0,1,0.38580916781219676,0.3609062535791823,0.2875,0.23196644409695583,0.5450360943558973,1,interleaved,1.0
18,All,0.0016207623555308315,12,0.4735250302297757,0.45632845003364864,0.225,0.20081292545438292,0.5480284904439118,1,blocked,
19,Training,-0.0003899119153535872,12,0.4805720796491706,0.47239500654403266,0.2125,0.18614713582903888,0.5429116300483953,1,blocked,
20,Test,-0.0004986418570472693,2,0.44533683255219614,0.3920622239921128,0.275,0.25947608395575894,0.5684959320259779,1,blocked,1.0
21,All,0.16058556582991562,5,0.46968321730611456,0.48809984748728374,0.2175,0.17877968639611702,0.5455087602833456,1,early,
22,Training,0.17066660339529974,5,0.47864025093028467,0.49995351490208434,0.190625,0.1585736427681553,0.5363873214931024,1,early,
23,Test,0.10560978478184167,2,0.4338550828094345,0.44068517782808164,0.325,0.2596038609079637,0.5819945154443189,1,early,1.0
24,All,0.0005046415877044617,3,0.42803529785196226,0.42271209238495366,0.2275,0.19658433250289423,0.49045433624693485,1,middle,
25,Training,0.0001572817003724216,3,0.43642373966153186,0.4361105220606378,0.209375,0.1821413468825139,0.4907788642175194,1,middle,
26,Test,0.0,1,0.3944815306136838,0.3691183736822169,0.3,0.2543562749844155,0.48915622436459716,1,middle,1.0
27,All,-3.572028967431291e-05,3,0.4513881736188277,0.44020918231714623,0.255,0.20968548627550482,0.5160861367786451,1,late,
28,Training,-0.00015531567911784808,3,0.4622490050515562,0.4547859012138879,0.234375,0.18689257692736377,0.5156802920680832,1,late,
29,Test,0.0,1,0.40794484788791396,0.38190230673017955,0.3375,0.30085712366806916,0.5177095156208924,1,late,1.0
30,All,0.0,1,0.4974196143247524,0.4964279168421985,0.175,0.16985726026232226,0.5612901003318352,2,interleaved,
31,Training,0.0,1,0.5104295821411547,0.5128767320328453,0.134375,0.13635454935724203,0.5363376829955175,2,interleaved,
32,Test,0.0,1,0.44537974305914274,0.4306326560796114,0.3375,0.3038681038826432,0.6610997696771059,2,interleaved,1.0
33,All,0.0,1,0.4677137339406122,0.4750011574783353,0.2725,0.2235822331489416,0.5221679407608031,2,blocked,
34,Training,0.0,1,0.4724845677395417,0.47794225617619085,0.284375,0.2276365133136636,0.5336966685049089,2,blocked,
35,Test,0.0,1,0.44863039874489385,0.46323676268691366,0.225,0.2073651124900536,0.47605302978437913,2,blocked,1.0
36,All,0.0012183386511250953,4,0.4278430005052269,0.40354537372141897,0.315,0.24748861240824382,0.5469517394802346,2,early,
37,Training,-0.00046215673799941556,4,0.4322929754676828,0.4102402671680764,0.296875,0.23412474194544605,0.5472666631178061,2,early,
38,Test,0.04044247903735876,2,0.4100431006554032,0.3767657999347894,0.3875,0.300944094259435,0.5456920449299482,2,early,1.0
39,All,0.0014115949303398797,4,0.49535224943658934,0.4897927769933728,0.2225,0.19231101291491892,0.5213221742701473,2,middle,
40,Training,0.03912003655634488,4,0.5091107484805524,0.5053286561118764,0.2,0.1820130597770803,0.5200778399578772,2,middle,
41,Test,0.18208354700011833,2,0.44031825326073687,0.42764926051935853,0.3125,0.23350282546627357,0.5262995115192275,2,middle,1.0
42,All,0.0011229864745566638,5,0.4674874160736792,0.4581971319034209,0.2575,0.23080577115232623,0.48582239888011536,2,late,
43,Training,-0.0016843075722921517,5,0.47626464115759626,0.46882897041803595,0.24375,0.2171456017631212,0.48001698207355864,2,late,
44,Test,0.0277534326614081,2,0.4323785157380112,0.41566977784496084,0.3125,0.2854464487091463,0.5090440661063426,2,late,1.0
45,All,-0.0002955948882061032,3,0.4439608047355167,0.4615682043045588,0.14,0.13147998391901392,0.5209519241135798,3,interleaved,
46,Training,0.0001572817003724216,3,0.4546774965233425,0.478001331911614,0.11875,0.12333673068928001,0.5161839643300113,3,interleaved,
47,Test,0.0,1,0.40109403758421386,0.39583569387633843,0.225,0.16405299683794938,0.5400237632478543,3,interleaved,1.0
48,All,0.0004910864350563793,7,0.4346031061101596,0.43896766048329555,0.1,0.1161981121126741,0.5401432834298986,3,blocked,
49,Training,-0.00029119269972036917,7,0.44086241911407487,0.4490357927475608,0.09375,0.11107784644714754,0.5493821327084832,3,blocked,
50,Test,-0.00046759926742792076,3,0.4095658540944984,0.3986951314262347,0.125,0.13667917477478037,0.5031878863155601,3,blocked,1.0
51,All,-0.0006033991947207983,17,0.5171757104828266,0.499231670951996,0.2,0.17019945071365083,0.5181938324162843,3,early,
52,Training,-0.001804441427116651,14,0.5129950727647729,0.4995544699204489,0.2,0.1671608339820122,0.5122140799616293,3,early,
53,Test,-0.02822218227575049,7,0.5338982613550415,0.4979404750781846,0.2,0.18235391764020528,0.5421128422349043,3,early,0.925
54,All,-9.553576922846199e-05,3,0.4910499897541887,0.44738518035496355,0.4025,0.33276676919597575,0.5764012994620711,3,middle,
55,Training,-0.00015531567911784808,3,0.5026086631410659,0.4651174794600575,0.390625,0.3174654148631054,0.5688118686394974,3,middle,
56,Test,0.0,1,0.44481529620668,0.376455983934588,0.45,0.3939721865274575,0.6067590227523658,3,middle,1.0
57,All,0.0019417872292561583,9,0.49442314770358103,0.49021581909874057,0.2975,0.2821086101381922,0.5543205617157259,3,late,
58,Training,-2.9648780545702e-05,9,0.5020534265312773,0.497516673490577,0.2875,0.2732881911152166,0.5511570019423487,3,late,
59,Test,-0.002392753375491379,2,0.4639020323927964,0.46101240153139467,0.3375,0.31739028623009463,0.5669748008092339,3,late,1.0
60,All,0.003596159649690012,2,0.45054661331789003,0.448525023557763,0.25,0.19536740048720752,0.5012455635097426,4,interleaved,
61,Training,0.0008122636031973452,2,0.4574381700947277,0.4583022526921109,0.240625,0.19290229372923556,0.5127832614526164,4,interleaved,
62,Test,0.0027467137531881946,2,0.42298038621053946,0.4094161070203716,0.2875,0.20522782751909543,0.4550947717382471,4,interleaved,1.0
63,All,0.08291966762640134,7,0.5066515203998997,0.48762655772887425,0.1825,0.17494717481128585,0.5276495947392899,4,blocked,
64,Training,0.07766145264105309,6,0.5190815907656817,0.4986109317037365,0.159375,0.15837366736131303,0.518898110140582,4,blocked,
65,Test,0.08946439081812835,3,0.4569312389367711,0.4436890618294253,0.275,0.2412412046111771,0.5626555331341218,4,blocked,0.975
66,All,-0.0001980392117638856,2,0.4388739952199743,0.44459629492110186,0.285,0.22579370669049567,0.571956421146346,4,early,
67,Training,0.0,2,0.4508152723848561,0.45905823694849757,0.259375,0.2112151858756674,0.56282189427557,4,early,
68,Test,0.0,1,0.39110888656044707,0.3867485268115193,0.3875,0.28410778994980845,0.6084945286294506,4,early,1.0
69,All,-0.0003014272234622293,4,0.4980367568097005,0.5178167127935183,0.2875,0.2504975666928775,0.5468538997154484,4,middle,
70,Training,-0.00045632551744753284,4,0.5097030419161763,0.539045081245453,0.25,0.2123197514833827,0.5374934464992063,4,middle,
71,Test,-0.016640665626625004,2,0.45137161638379775,0.4329032389857792,0.4375,0.4032088275308565,0.5842957125804172,4,middle,1.0
72,All,0.0,1,0.44246872701865686,0.43616616579483247,0.28,0.22969834564475086,0.579355100375047,4,late,
73,Training,0.0,1,0.4462557240904386,0.44635383796921635,0.28125,0.23056627523883605,0.5779095858384014,4,late,
74,Test,0.0,1,0.42732073873153026,0.39541547709729685,0.275,0.22622662726841006,0.5851371585216295,4,late,1.0
75,All,-0.0005756120239175579,7,0.423751890983604,0.4092669485276316,0.3275,0.2886370787483471,0.562350537888707,5,interleaved,
76,Training,-0.00014164013373194124,7,0.4288541297450101,0.42041827399881615,0.309375,0.26835717629086675,0.5489627110011692,5,interleaved,
77,Test,-0.004772670183370955,2,0.4033429359379794,0.36466164664289347,0.4,0.3697566885782683,0.6159018454388587,5,interleaved,1.0
78,All,0.0005558725236575794,4,0.4719971870642983,0.4701331305013271,0.2575,0.20913577728935606,0.5439636323121718,5,blocked,
79,Training,-0.00015337332837831846,4,0.4815505029723007,0.4864368388579511,0.2375,0.19456885137343993,0.5424110639652339,5,blocked,
80,Test,0.0,1,0.4337839234322886,0.404918297074831,0.3375,0.26740348095302063,0.5501739056999233,5,blocked,1.0
81,All,0.0001712359813131364,9,0.47308343584928364,0.4502914399884215,0.305,0.246955845752706,0.5736870084890076,5,early,
82,Training,0.00011621802896190707,8,0.47396804358965694,0.456721638506602,0.3,0.24567620064913456,0.5779520978420377,5,early,
83,Test,-0.014112112896903197,4,0.46954500488779033,0.42457064591569954,0.325,0.25207442616699155,0.5566266510768862,5,early,0.975
84,All,-0.00439307925562964,11,0.4671296369733517,0.44567211747280466,0.2575,0.20630243031499737,0.5325070565289395,5,middle,
85,Training,-0.004602821377328642,10,0.46880668031129297,0.45361091043716434,0.234375,0.19766840030836025,0.5353530424248621,5,middle,
86,Test,-0.04344207063300162,4,0.4604214636215863,0.41391694561536607,0.35,0.24083855034154572,0.5211231129452492,5,middle,0.975
87,All,-0.0003892355799326807,5,0.4582389683111272,0.44134996356858425,0.375,0.334790160818488,0.57734806959934,5,late,
