,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,0.0,1,0.5151556326909694,0.49181628639142533,0.1175,0.10497525395234042,0.5162609343867198,0,interleaved,
1,Training,0.0,1,0.5232819702441632,0.4980255849828721,0.103125,0.10307793076858437,0.5200514792328776,0,interleaved,
2,Test,0.0,1,0.4826502824781945,0.46697909202563836,0.175,0.11256454668736468,0.5010987550020889,0,interleaved,1.0
3,All,0.0,1,0.5535561710410374,0.500593619477802,0.1425,0.1305807445021978,0.49572082630457054,0,blocked,
4,Training,0.0,1,0.5687669276649426,0.5135771454470575,0.1625,0.13758143827913458,0.49537579993264585,0,blocked,
5,Test,0.0,1,0.4927131445454168,0.44865951560077966,0.0625,0.10257796939445067,0.49710093179226933,0,blocked,1.0
6,All,0.0,1,0.5301758091377413,0.47125119289520734,0.175,0.16626950731399373,0.5087166883809876,0,early,
7,Training,0.0,1,0.5460117103910429,0.4831082132529678,0.165625,0.15986802833055644,0.5159372322066865,0,early,
8,Test,0.0,1,0.4668322041245353,0.42382311146416524,0.2125,0.19187542324774293,0.47983451307819197,0,early,1.0
9,All,0.0,1,0.5615927733563574,0.5336508178658302,0.1125,0.1150164170869202,0.47485495605618994,0,middle,
10,Training,0.0,1,0.5779862467838397,0.5474632326831195,0.09375,0.10838592413826835,0.47520121621020167,0,middle,
11,Test,0.0,1,0.49601887964642816,0.4784011585966734,0.1875,0.14153838888152764,0.4734699154401428,0,middle,1.0
12,All,0.0,1,0.5311090449499292,0.5212541009283117,0.055,0.09875045654012676,0.5413805372152569,0,late,
13,Training,0.0,1,0.538793010584363,0.5280953462072556,0.06875,0.10476345678687093,0.5525953251247928,0,late,
14,Test,0.0,1,0.5003731824121939,0.49388911981253597,0.0,0.07469845555315004,0.4965213855771135,0,late,1.0
15,All,0.0,1,0.532254642336894,0.5026970655838234,0.115,0.10047721602511014,0.5167293221821603,1,interleaved,
16,Training,0.0,1,0.5474948347320661,0.5227168720757845,0.090625,0.08787990552072447,0.5217603321013706,1,interleaved,
17,Test,0.0,1,0.4712938727562056,0.42261783961597904,0.2125,0.15086645804265292,0.49660528250531916,1,interleaved,1.0
18,All,0.0,1,0.5974793764182973,0.5696292305652969,0.145,0.12695122640832976,0.5083929143707695,1,blocked,
19,Training,0.0,1,0.6242397363886013,0.5954920640431354,0.140625,0.12731938938890502,0.511640553420383,1,blocked,
20,Test,0.0,1,0.4904379365370815,0.466177896653943,0.1625,0.12547857448602864,0.49540235817231526,1,blocked,1.0
21,All,0.0,1,0.5603546305082248,0.5584825329801935,0.19,0.1570889315235223,0.5085066517819252,1,early,
22,Training,0.0,1,0.5711920819817596,0.5710546154551359,0.18125,0.1471818748732464,0.5182490818431766,1,early,
23,Test,0.0,1,0.5170048246140847,0.5081942030804238,0.225,0.1967171581246258,0.46953693153691933,1,early,1.0
24,All,0.0,1,0.4853030386246739,0.4794922267136316,0.1225,0.11745345062083241,0.5067328142369726,1,middle,
25,Training,0.0,1,0.4930264625918496,0.4877257619068107,0.125,0.11465039985016116,0.4935106920213581,1,middle,
26,Test,0.0,1,0.45440934275597095,0.4465580859409151,0.1125,0.1286656537035175,0.5596213030994309,1,middle,1.0
27,All,0.0,1,0.5293014923888725,0.48940433959113716,0.18,0.16558151563249823,0.5066805957892406,1,late,
28,Training,0.0,1,0.5409598372170519,0.4992909394555551,0.171875,0.16602349035936592,0.503003467845185,1,late,
29,Test,0.0,1,0.4826681130761547,0.4498579401334659,0.2125,0.16381361672502737,0.5213891075654626,1,late,1.0
30,All,0.0,1,0.49647101779708364,0.4835221801808294,0.065,0.08728701797033764,0.4710055657871598,2,interleaved,
31,Training,0.0,1,0.5075314794442614,0.4923011251426912,0.06875,0.08849943855560602,0.45866887511343923,2,interleaved,
32,Test,0.0,1,0.45222917120837336,0.4484064003333822,0.05,0.0824373356292641,0.5203523284820423,2,interleaved,1.0
33,All,0.0,1,0.5011305962022663,0.48842747453237395,0.0775,0.11647871817625573,0.51417850828214,2,blocked,
34,Training,0.0,1,0.5171030269245824,0.5020559399862561,0.084375,0.12236567697922189,0.5125096737748175,2,blocked,
35,Test,0.0,1,0.4372408733130021,0.43391361271684553,0.05,0.09293088296439109,0.5208538463114301,2,blocked,1.0
36,All,0.0,1,0.5527355398262633,0.5254900470607751,0.205,0.15648864040830154,0.4719331063969392,2,early,
37,Training,0.0,1,0.5763988458128135,0.5512963942594169,0.2,0.1521196066589198,0.4695078832434111,2,early,
38,Test,0.0,1,0.4580823158800625,0.4222646582662078,0.225,0.1739647754058286,0.48163399901105153,2,early,1.0
39,All,0.0,1,0.49360323875901646,0.47203400969353865,0.085,0.11307978643642656,0.5404726333316323,2,middle,
40,Training,0.0,1,0.49668254652334864,0.4738307897967389,0.103125,0.12222701788182863,0.543041320691364,2,middle,
41,Test,0.0,1,0.48128600770168767,0.4648468892807376,0.0125,0.07649086065481821,0.5301978838927062,2,middle,1.0
42,All,0.0,1,0.5135623202174556,0.5217447890092752,0.125,0.12032093942661648,0.511517225745809,2,late,
43,Training,0.0,1,0.5264409177858309,0.534895305864467,0.109375,0.11623550630021998,0.5110146127286115,2,late,
44,Test,0.0,1,0.4620479299439546,0.4691427215885079,0.1875,0.13666267193220263,0.5135276778146001,2,late,1.0
45,All,0.0,1,0.5403607520004998,0.4880562260951051,0.14,0.12928539527437677,0.5219681710336359,3,interleaved,
46,Training,0.0,1,0.549750212781062,0.4988735460407545,0.109375,0.11788987123125869,0.5176226877055717,3,interleaved,
47,Test,0.0,1,0.5028029088782512,0.4447869463125073,0.2625,0.1748674914468491,0.5393501043458926,3,interleaved,1.0
48,All,0.0,1,0.45366768753395914,0.4489249171083807,0.145,0.1387540030177694,0.5336353270572995,3,blocked,
49,Training,0.0,1,0.46410091146270205,0.4612120859362456,0.14375,0.13457456000504203,0.519166816200582,3,blocked,
50,Test,0.0,1,0.41193479181898796,0.39977624179692134,0.15,0.155471775068679,0.5915093704841698,3,blocked,1.0
51,All,0.0,1,0.5078862710861529,0.5030364651455751,0.0125,0.07096722786266685,0.5258590686043567,3,early,
52,Training,0.0,1,0.5209976409333347,0.5137018476030736,0.015625,0.07280044765534414,0.5382212260348876,3,early,
53,Test,0.0,1,0.4554407916974259,0.46037493531558127,0.0,0.06363434869195769,0.4764104388822331,3,early,1.0
54,All,0.0,1,0.5581480780761373,0.5073628907519927,0.2375,0.17109367927746727,0.49290621565030945,3,middle,
55,Training,0.0,1,0.5712045802285052,0.5170749873027279,0.25,0.18017487303007734,0.49512365506831363,3,middle,
56,Test,0.0,1,0.5059220694666654,0.46851450454905114,0.1875,0.13476890426702712,0.48403645797829287,3,middle,1.0
57,All,0.0,1,0.5602173605357107,0.5734375644461501,0.055,0.0710015251825488,0.5141394475483045,3,late,
58,Training,0.0,1,0.5699375440377968,0.5823414008712214,0.04375,0.06649809720145856,0.5063766351792311,3,late,
