,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,-0.0035885778284413,8,0.5952329414517831,0.6345210491753847,0.12,0.12696952485442392,0.46722427855825077,0,interleaved,
1,Training,-0.006051314030826543,7,0.5974617353760361,0.6447958428002563,0.10625,0.11169665821907378,0.4551509187277961,0,interleaved,
2,Test,-0.02680892797198654,5,0.5863177657547716,0.5934218746758985,0.175,0.1880609913958246,0.5155177178800693,0,interleaved,0.8
3,All,0.1481860949406642,7,0.6611121961589972,0.71584938714209,0.245,0.22518300787051032,0.5774003152063603,0,blocked,
4,Training,0.216405201775209,6,0.6505264827047316,0.7050619514409718,0.253125,0.23864976504936428,0.5889799285769584,0,blocked,
5,Test,0.022704837117472825,7,0.7034550499760599,0.7589991299465625,0.2125,0.17131597915509428,0.5310818617239672,0,blocked,0.925
6,All,0.02962544330444344,7,0.6541394993940235,0.6818274988381086,0.255,0.2461593768658644,0.5393123952896952,0,early,
7,Training,0.040074600746205793,6,0.6418167614421875,0.6628346059871474,0.271875,0.2641329120352681,0.5560576940951327,0,early,
8,Test,-0.037029741973606436,5,0.7034304512013674,0.7577990702419537,0.1875,0.17426523618824913,0.47233120006794466,0,early,0.325
9,All,0.021834463672176677,10,0.633091269174108,0.6685371093874852,0.2325,0.22059768219513928,0.502651965312108,0,middle,
10,Training,0.03527603552441634,9,0.6249934973158531,0.663469572166979,0.2375,0.2313269538611265,0.5060751003167394,0,middle,
11,Test,-0.00031247558784469853,7,0.6654823566071281,0.6888072582695098,0.2125,0.17768059553119037,0.4889594252935822,0,middle,0.675
12,All,0.006868425101686653,7,0.6326150194288837,0.6830376804418975,0.24,0.23202163336392323,0.5260058454311285,0,late,
13,Training,0.014148339099383931,7,0.6277515569237494,0.6825383011756813,0.21875,0.21420456629597395,0.53125808132341,0,late,
14,Test,0.022575479436003604,6,0.6520688694494209,0.6850351975067621,0.325,0.30328990163572056,0.5049969018620021,0,late,1.0
15,All,-0.006682844803223544,8,0.6112529843977923,0.690098865896585,0.19,0.18508907007977093,0.47904242347317905,1,interleaved,
16,Training,-0.008596167765264477,6,0.6111240029513105,0.694867441662742,0.209375,0.19777083207914753,0.4905826119500749,1,interleaved,
17,Test,-0.013927576601671314,6,0.6117689101837196,0.6710245628319569,0.1125,0.13436202208226455,0.4328816695655955,1,interleaved,0.65
18,All,0.08338062777407815,9,0.6177829367330934,0.6335256607754046,0.2525,0.23749842210866043,0.5581136348216851,1,blocked,
19,Training,0.13911488778414027,8,0.615269987810263,0.6280089779203805,0.278125,0.2575145952151098,0.566966139105505,1,blocked,
20,Test,0.009469621613018762,7,0.6278347324244146,0.6555923921955016,0.15,0.15743372968286323,0.5227036176864057,1,blocked,0.925
21,All,0.10981041269664639,6,0.6258156475556265,0.6604256637414413,0.28,0.24426119184813722,0.563626354455923,1,early,
22,Training,0.1974781326352184,5,0.619398209990203,0.6560234940113748,0.28125,0.24945441891491288,0.5509485334284623,1,early,
23,Test,-0.02518891687657431,6,0.6514853978173201,0.6780343426617069,0.275,0.2234882835810345,0.6143376385657657,1,early,0.7
24,All,0.054899990274581,7,0.6295269177623746,0.6838737748662206,0.1875,0.19121207344913482,0.5508839424212258,1,middle,
25,Training,0.07185644190650069,6,0.634479007523654,0.6951183938953764,0.165625,0.17272384270595556,0.5274421585805642,1,middle,
26,Test,0.13381312032899684,5,0.609718558717256,0.6388952987495972,0.275,0.26516499642185176,0.6446510777838727,1,middle,0.95
27,All,0.009096500730091186,7,0.6136827362591921,0.628658157185963,0.22,0.21009758593915528,0.49423737592687117,1,late,
28,Training,0.03221810399763364,6,0.6121276450719414,0.6298897187899406,0.221875,0.21058387571191464,0.5009732756534266,1,late,
29,Test,0.029565217391304337,7,0.6199031010081947,0.6237319107700525,0.2125,0.2081524268481178,0.4672937770206495,1,late,0.85
30,All,-0.004861038339483254,10,0.607838609957948,0.6316583666317821,0.1325,0.13403505916403607,0.5317646739913022,2,interleaved,
31,Training,-0.007021065182829888,10,0.6066867895119433,0.6267696745208056,0.14375,0.13884326626045804,0.550998334807782,2,interleaved,
32,Test,-0.01978580743746129,8,0.6124458917419666,0.6512131350756882,0.0875,0.11480223077834813,0.4548300307253828,2,interleaved,1.0
33,All,0.09680040920149806,4,0.6100236527125696,0.6602566330999394,0.2825,0.26046266508017246,0.5346438204932028,2,blocked,
34,Training,0.14640196790367332,3,0.611256048488976,0.6584536443062123,0.296875,0.27357207480341506,0.5495805764716597,2,blocked,
35,Test,-0.020133164235890823,3,0.6050940696069442,0.6674685882748488,0.225,0.20802502618720195,0.474896796579376,2,blocked,0.2
