,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,-0.0008455267858356621,4,0.4766849270745263,0.5060438376004575,0.13,0.13188712808906966,0.4660069584003047,0,interleaved,
1,Training,0.0004233762781286196,4,0.4900764092474363,0.5226894623404819,0.096875,0.1049549104926976,0.4540382267353241,0,interleaved,
2,Test,0.0,1,0.4231189983828866,0.43946133864036,0.2625,0.2396159984745579,0.5138818850602268,0,interleaved,1.0
3,All,0.0,1,0.4856841760209772,0.43018355327880115,0.2325,0.1953735481926403,0.5383437940195716,0,blocked,
4,Training,0.0,1,0.4905778981015059,0.438937526710817,0.23125,0.18925542860824945,0.5399662981596185,0,blocked,
5,Test,0.0,1,0.4661092876988623,0.39516765955073746,0.2375,0.21984602653020374,0.5318537774593844,0,blocked,1.0
6,All,0.00814871197940829,6,0.4600916687296499,0.487844285014998,0.1075,0.12379170513532553,0.5186696803975555,0,early,
7,Training,0.003620230002656054,6,0.46927268001927247,0.502036168410749,0.09375,0.10908461796402528,0.519296234631321,0,early,
8,Test,0.0,1,0.42336762357115987,0.431076751431994,0.1625,0.18262005382052654,0.5161634634624932,0,early,1.0
9,All,-9.9756805001066e-05,2,0.4563847104242306,0.4339362018842249,0.2225,0.19774730420278386,0.5071401975118128,0,middle,
10,Training,-0.00031063105288207,2,0.46219153677927965,0.43984001887749413,0.2,0.18402887986815472,0.5013235133783963,0,middle,
11,Test,0.0,1,0.4331574050040344,0.41032093391114743,0.3125,0.2526210015413005,0.5304069340454792,0,middle,1.0
12,All,0.00010052256656234894,3,0.4774935111424987,0.46867384168960796,0.0975,0.10692472153172156,0.5059151547724009,0,late,
13,Training,0.0001572817003724216,3,0.48720741013987107,0.4814678698779834,0.08125,0.0971705118372789,0.49621455610199733,0,late,
14,Test,0.0,1,0.43863791515300915,0.41749772893610615,0.1625,0.14594156030949218,0.5447175494540153,0,late,1.0
15,All,-0.0010312660002020837,11,0.5195918199011855,0.5098333573260142,0.1425,0.12130715298567846,0.4990083584864227,1,interleaved,
16,Training,-0.0008839391794721654,11,0.5395834698444711,0.532037871381579,0.11875,0.10932563257644703,0.4849130644169999,1,interleaved,
17,Test,0.0,1,0.43962522012804295,0.4210153011037551,0.2375,0.16923323462260403,0.555389534764114,1,interleaved,1.0
18,All,0.013478111749370227,7,0.4998435809754011,0.49671610946556066,0.1075,0.1265833488611594,0.4854451957296568,1,blocked,
19,Training,0.007706950640833499,7,0.5133837097519216,0.5119819002284458,0.1,0.1158581672415688,0.47460747325008706,1,blocked,
20,Test,0.0,1,0.44568306586931894,0.43565294641402,0.1375,0.16948407533952184,0.5287960856479355,1,blocked,1.0
21,All,-0.0007803127406638428,11,0.5075018612878534,0.5100488766845713,0.0875,0.10171233108255663,0.5071147557455207,1,early,
22,Training,0.008819704953307705,11,0.522680793840711,0.5247934880116809,0.08125,0.10137496366384739,0.516390770215587,1,early,
