,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,0.0,1,0.5232492826906664,0.5454947371019264,0.1225,0.12654887600652928,0.4777111012631247,0,interleaved,
1,Training,0.0,1,0.5398039276858743,0.5641495171483151,0.134375,0.13466903469076874,0.4733621305259829,0,interleaved,
2,Test,0.0,1,0.45703070270983476,0.47087561691637214,0.075,0.09406824126957142,0.49510698421169214,0,interleaved,1.0
3,All,0.0,1,0.48957402073384054,0.45637508469100657,0.105,0.13536310745977737,0.53309769446658,0,blocked,
4,Training,0.0,1,0.5058337950021209,0.4694176738474198,0.121875,0.14638455724790095,0.5347492414253521,0,blocked,
5,Test,0.0,1,0.424534923660719,0.4042047280653536,0.0375,0.091277308307283,0.5264915066314917,0,blocked,1.0
6,All,0.0,1,0.4677917650767349,0.45736055928357217,0.085,0.11193638004588446,0.551896232704255,0,early,
7,Training,0.0,1,0.4721068472389514,0.4641489955708934,0.090625,0.11237809689583486,0.5576584014108892,0,early,
8,Test,0.0,1,0.45053143642786897,0.43020681413428663,0.0625,0.11016951264608284,0.5288475578777183,0,early,1.0
9,All,0.0,1,0.4804599204650993,0.501362769745834,0.02,0.05632508569408548,0.47946158044069237,0,middle,
10,Training,0.0,1,0.49187654566636085,0.5095251911304634,0.015625,0.0489927580407576,0.48229663652496824,0,middle,
11,Test,0.0,1,0.4347934196600528,0.46871308420731667,0.0375,0.08565439630739706,0.4681213561035884,0,middle,1.0
12,All,0.0,1,0.5344082705061041,0.5184503719678597,0.1825,0.139175489429475,0.5186876123987509,0,late,
13,Training,0.0,1,0.5477395953982745,0.529613006316401,0.2,0.1452568994444375,0.5080821328178311,0,late,
14,Test,0.0,1,0.4810829709374218,0.47379983457369484,0.1125,0.11484984936962497,0.5611095307224299,0,late,1.0
15,All,0.0,1,0.5078427968474462,0.46776903305891265,0.2275,0.1681862690318767,0.5153852700816972,1,interleaved,
16,Training,0.0,1,0.5176717539661798,0.4768503664986266,0.246875,0.17750570453634595,0.5197353181768426,1,interleaved,
17,Test,0.0,1,0.4685269683725112,0.4314436993000573,0.15,0.1309085270139998,0.49798507770111583,1,interleaved,1.0
18,All,0.0,1,0.5029532903246333,0.4525086947802184,0.24,0.17562252992522404,0.5004282571721598,1,blocked,
19,Training,0.0,1,0.5094942422451253,0.4563484435947183,0.234375,0.17397063634603138,0.4965443814088026,1,blocked,
20,Test,0.0,1,0.4767894826426655,0.43714969952221894,0.2625,0.1822301042419947,0.515963760225588,1,blocked,1.0
