,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,0.0,1,0.4612161628665435,0.4378090162504322,0.2025,0.17001847938926518,0.5159835393450475,0,interleaved,
1,Training,0.0,1,0.4672577452904109,0.447458401273107,0.175,0.15862183277571432,0.5113906157680079,0,interleaved,
2,Test,0.0,1,0.43704983317107354,0.399211476159733,0.3125,0.21560506584346859,0.5343552336532059,0,interleaved,1.0
3,All,-0.0008416381188407873,5,0.48793662021087475,0.48039282191405563,0.0775,0.10797703241237926,0.5036036211950611,0,blocked,
4,Training,0.00598209700048984,5,0.5007956210464702,0.49841424192629946,0.08125,0.10721348115009441,0.4968463258516561,0,blocked,
5,Test,0.0,1,0.4365006168684931,0.40830714186508005,0.0625,0.11103123746151859,0.5306328025686812,0,blocked,1.0
6,All,0.0,1,0.4411442538797329,0.4504262507021919,0.1625,0.13958106897055692,0.5121181041607115,0,early,
7,Training,0.0,1,0.4458341469479548,0.4590292943473891,0.146875,0.13244499719536898,0.5208111123387082,0,early,
8,Test,0.0,1,0.42238468160684556,0.4160140761214029,0.225,0.16812535607130852,0.4773460714487241,0,early,1.0
9,All,0.0,1,0.4621959031268741,0.4358547287479264,0.2,0.18177213906262638,0.5319930155673883,0,middle,
10,Training,0.0,1,0.4720890192989529,0.4485488512197489,0.1875,0.17361445937795564,0.5280305951124664,0,middle,
11,Test,0.0,1,0.42262343843855915,0.3850782388606368,0.25,0.21440285780130947,0.5478426973870762,0,middle,1.0
12,All,0.0,1,0.4618849106256566,0.4594498816379496,0.06,0.09197806041251747,0.5149988452064229,0,late,
13,Training,0.0,1,0.46725182574620017,0.4692318731301688,0.05625,0.0875188007787848,0.5235661724415023,0,late,
14,Test,0.0,1,0.4404172501434824,0.4203219156690725,0.075,0.10981509894744815,0.48072953626610565,0,late,1.0
15,All,0.0,1,0.4760474368373483,0.4731657956757569,0.1125,0.13943890525724167,0.5181488594068036,1,interleaved,
16,Training,0.0,1,0.4888706175388224,0.49298182452665157,0.08125,0.11611711463214332,0.5154433086430141,1,interleaved,
17,Test,0.0,1,0.4247547140314524,0.39390168027217803,0.2375,0.2327260677576351,0.5289710624619615,1,interleaved,1.0
18,All,0.0,1,0.4864816779808731,0.4564957765587498,0.2025,0.169235939039446,0.48970107143864783,1,blocked,
19,Training,0.0,1,0.4935600655573446,0.46299129701536207,0.203125,0.16607653417309542,0.49633240491843755,1,blocked,
20,Test,0.0,1,0.4581681276749869,0.4305136947323005,0.2,0.18187355850484827,0.4631757375194887,1,blocked,1.0
21,All,0.0010526843450799539,2,0.5002539270480907,0.5080660950377088,0.1075,0.11488265506898845,0.5002041830628723,1,early,
22,Training,0.0,2,0.5103504914901464,0.5212782200328254,0.08125,0.09271874539271178,0.5059014098700746,1,early,
23,Test,0.0,1,0.45986766927986766,0.4552175950572425,0.2125,0.2035382937740951,0.4774152758340632,1,early,1.0
