,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,0.0,1,0.5177129438970546,0.49259998533574323,0.1675,0.13273210622683115,0.5430469103709649,0,interleaved,
1,Training,0.0,1,0.5260134426421179,0.4988064379057494,0.175,0.13519975935806797,0.5360125325337914,0,interleaved,
2,Test,0.0,1,0.4845109489168016,0.46777417505571856,0.1375,0.12286149370188397,0.5711844217196589,0,interleaved,1.0
3,All,0.0,1,0.49415264644656054,0.4746495653785716,0.1125,0.12735101384698028,0.5033667314021235,0,blocked,
4,Training,0.0,1,0.5143160074689678,0.49382087633511207,0.10625,0.11941947114458691,0.5078406111524003,0,blocked,
5,Test,0.0,1,0.4134992023569317,0.3979643215524097,0.1375,0.15907718465655368,0.4854712124010165,0,blocked,1.0
6,All,0.0,1,0.5024210413982628,0.4597823375185272,0.1375,0.13450941505604572,0.4985896297211913,0,early,
7,Training,0.0,1,0.5116655204500009,0.4702077315806026,0.134375,0.13783809929147356,0.5035132412729799,0,early,
8,Test,0.0,1,0.46544312519131054,0.4180807612702255,0.15,0.12119467811433426,0.47889518351403665,0,early,1.0
9,All,0.0,1,0.445905111764564,0.45801496381447326,0.0775,0.1014123772337964,0.5749921908072696,0,middle,
10,Training,0.0,1,0.45403115796988075,0.4714684427480053,0.059375,0.08457161384990541,0.5556377930804803,0,middle,
11,Test,0.0,1,0.41340092694329683,0.4042010480803452,0.15,0.1687754307693603,0.6524097817144268,0,middle,1.0
12,All,0.0,1,0.5190351567268895,0.5289802185533286,0.0625,0.09469837041009237,0.4945725668017886,0,late,
13,Training,0.0,1,0.5276939489450497,0.5387415595175158,0.05625,0.09610230820016973,0.49374647082378065,0,late,
14,Test,0.0,1,0.48439998785424854,0.4899348546965799,0.0875,0.08908261924978286,0.4978769507138205,0,late,1.0
15,All,0.0,1,0.4859814904911425,0.44289322490522814,0.2,0.19587112909007662,0.5756842517600833,1,interleaved,
16,Training,0.0,1,0.4944737596282364,0.4515399098801409,0.2,0.19655303445519798,0.575215061103722,1,interleaved,
17,Test,0.0,1,0.45201241394276687,0.40830648500557737,0.2,0.19314350762959118,0.5775610143855289,1,interleaved,1.0
18,All,0.0,1,0.4820284015589643,0.45388036877641424,0.05,0.08322645857267182,0.5165907842424201,1,blocked,
19,Training,0.0,1,0.4900320870027582,0.46405581325999545,0.040625,0.07536966841248616,0.5149867818174718,1,blocked,
