,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,0.0,1,0.621923068659169,0.6408997169278355,0.2225,0.2138976596352855,0.5534202416084262,0,interleaved,
1,Training,0.0,1,0.6194866883045856,0.6429835480733012,0.2125,0.20706517055025125,0.5426203999662904,0,interleaved,
2,Test,0.0,1,0.6316685900775026,0.6325643923459726,0.2625,0.24122761597542236,0.596619608176969,0,interleaved,1.0
3,All,0.0,1,0.5657741619712094,0.5944733944899376,0.3,0.27435994556960014,0.5574259165262735,0,blocked,
4,Training,0.0,1,0.5675020263530278,0.5991684771171764,0.30625,0.27752109412034454,0.5614804458459447,0,blocked,
5,Test,0.0,1,0.5588627044439358,0.5756930639809823,0.275,0.2617153513666226,0.5412077992475888,0,blocked,1.0
6,All,0.0,1,0.6505782833685364,0.6978171441845222,0.2425,0.22125572126513326,0.5613037532234668,0,early,
7,Training,0.0,1,0.6492908909359417,0.6946691414782528,0.240625,0.2163032614480108,0.5666267114125276,0,early,
8,Test,0.0,1,0.6557278530989155,0.7104091550095998,0.25,0.2410655605336231,0.5400119204672238,0,early,1.0
9,All,0.0,1,0.5373251711533807,0.5459527370707762,0.215,0.20917548591033058,0.5284680056052605,0,middle,
10,Training,0.0,1,0.543265329618407,0.5541616345115626,0.2125,0.2022008060370041,0.5357089766752675,0,middle,
11,Test,0.0,1,0.5135645372932759,0.5131171473076307,0.225,0.23707420540363638,0.4995041213252328,0,middle,1.0
12,All,0.0,1,0.5791508459278514,0.6557936921011256,0.2925,0.27369135695209956,0.5306687541951172,0,late,
13,Training,0.0,1,0.5918234629936537,0.674468617593642,0.3,0.27663557299850394,0.5396447768643171,0,late,
14,Test,0.0,1,0.5284603776646418,0.58109399013106,0.2625,0.2619144927664818,0.4947646635183179,0,late,1.0
15,All,0.0,1,0.6143860449793931,0.675438695366246,0.32,0.306967211027879,0.5986217023807591,1,interleaved,
16,Training,0.0,1,0.6303898513232579,0.709457682172228,0.278125,0.26922434744690904,0.576069322780145,1,interleaved,
17,Test,0.0,1,0.5503708196039339,0.5393627481423175,0.4875,0.4579386653517588,0.688831220783215,1,interleaved,1.0
18,All,0.0,1,0.6426252987570449,0.7065132442808966,0.325,0.3108464255885679,0.5765908246742648,1,blocked,
19,Training,0.0,1,0.6412403137380993,0.7107746462665541,0.30625,0.2991735940157231,0.5775251486764189,1,blocked,
20,Test,0.0,1,0.6481652388328283,0.6894676363382661,0.4,0.3575377518799473,0.5728535286656482,1,blocked,1.0
21,All,0.0,1,0.6072382126547047,0.6358706956230609,0.3025,0.282547268402932,0.6126453780865537,1,early,
22,Training,0.0,1,0.6119172303422903,0.6453534786270586,0.290625,0.26859308533152226,0.6145105073981472,1,early,
23,Test,0.0,1,0.5885221419043618,0.59793956360707,0.35,0.3383640006885707,0.6051848608401805,1,early,1.0
24,All,0.0,1,0.6228023540616118,0.6954670155663846,0.215,0.222308709192084,0.5817260561220302,1,middle,
25,Training,0.0,1,0.6310938477511064,0.710214852966617,0.184375,0.19947891352744318,0.5587282415780004,1,middle,
26,Test,0.0,1,0.5896363793036336,0.636475665965454,0.3375,0.3136278918506473,0.6737173142981497,1,middle,1.0
27,All,0.0,1,0.6246678732176383,0.6898111608867302,0.3175,0.31433150640663865,0.5934240026343205,1,late,
28,Training,0.0,1,0.6319831244869181,0.699742107645821,0.3125,0.3127530341616294,0.5898221337196429,1,late,
29,Test,0.0,1,0.5954068681405192,0.6500873738503667,0.3375,0.3206453953866755,0.6078314782930312,1,late,1.0
30,All,0.0,1,0.6369297878983977,0.6823636041655178,0.315,0.30936304422696204,0.6187389797147657,2,interleaved,
31,Training,0.0,1,0.6455808013617318,0.6982683501181717,0.275,0.27122577045612806,0.5996254321768516,2,interleaved,
32,Test,0.0,1,0.6023257340450614,0.6187446203549026,0.475,0.4619121393102981,0.6951931698664218,2,interleaved,1.0
33,All,0.0,1,0.6094016026125582,0.6756554668883319,0.32,0.3107828740641645,0.5890336710695753,2,blocked,
34,Training,0.0,1,0.6190340516677034,0.6948710079573669,0.303125,0.29137721443167586,0.580817115964822,2,blocked,
35,Test,0.0,1,0.5708718063919768,0.5987933026121922,0.3875,0.38840551259411915,0.6218998914885883,2,blocked,1.0
36,All,0.0,1,0.5674930851366132,0.613570501246589,0.4,0.36771793256609625,0.6333347900812548,2,early,
