,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,-0.0007452045349142637,3,0.4512305592646653,0.4431084085751106,0.1875,0.17560900643882893,0.5577890304589278,0,interleaved,
1,Training,-0.00031063105288207,2,0.45224746686664685,0.44793972292114664,0.190625,0.17549046858819056,0.5625063446431241,0,interleaved,
2,Test,-0.013046815042210343,2,0.44716292885673936,0.4237831511909663,0.175,0.17608315784138234,0.5389197737221425,0,interleaved,0.975
3,All,0.00010751959080536315,4,0.4617233651781931,0.46194423246241983,0.1725,0.16929421494920546,0.5327162721029702,0,blocked,
4,Training,-0.00015337332837831846,4,0.47106508627815685,0.4751567800727591,0.128125,0.1401150812356438,0.5178368168716233,0,blocked,
5,Test,0.0,1,0.4243564807783385,0.40909404202106314,0.35,0.286010749803452,0.5922340930283577,0,blocked,1.0
6,All,0.00020512665817002066,6,0.49338575864757905,0.5007841253799782,0.275,0.24711103728232456,0.5370990030137199,0,early,
7,Training,0.0003225758864688964,6,0.5081132549335878,0.5215776259373553,0.234375,0.21724984570980257,0.5196786242099591,0,early,
8,Test,0.0,1,0.43447577350354377,0.41761012315046947,0.4375,0.3665558035724124,0.6067805182287626,0,early,1.0
9,All,0.0,1,0.505749050699317,0.5143139073119077,0.25,0.22705649278671727,0.5742744410246433,0,middle,
10,Training,0.0,1,0.5162983586456135,0.5292030618901307,0.23125,0.2089704392307455,0.5685786659010368,0,middle,
11,Test,0.0,1,0.46355181891413105,0.45475728899901613,0.325,0.2994007070106045,0.5970575415190696,0,middle,1.0
12,All,-0.00018318218590660304,2,0.4453852122790768,0.45925603154155753,0.1975,0.18397428305565136,0.5629208261656362,0,late,
13,Training,0.0,2,0.44878962298902164,0.4667630203238454,0.190625,0.1790055871013329,0.5634180523326895,0,late,
14,Test,-0.009104704097116901,2,0.43176756943929717,0.42922807641240573,0.225,0.20384906687292498,0.5609319214974227,0,late,1.0
15,All,0.0008333900946778936,2,0.44557062266364894,0.4362384794938932,0.1275,0.14714300175813372,0.5528742715625006,1,interleaved,
16,Training,0.0,2,0.45665475091053287,0.44719922661193445,0.109375,0.14021488335427726,0.5554300699623973,1,interleaved,
17,Test,0.0,1,0.4012341096761132,0.3923954910217281,0.2,0.17485547537355955,0.5426510779629136,1,interleaved,1.0
18,All,0.0,1,0.4646660780357055,0.4788360174708397,0.28,0.22769642623570122,0.5171879596964425,1,blocked,
19,Training,0.0,1,0.47276033010885654,0.48967371772292817,0.240625,0.21118090587662186,0.5124052083147912,1,blocked,
20,Test,0.0,1,0.43228906974310083,0.43548521646248617,0.4375,0.2937585076720187,0.5363189652230478,1,blocked,1.0
21,All,0.0,1,0.4694261873452795,0.45245192358407166,0.2675,0.22888553670470632,0.5580762236615923,1,early,
22,Training,0.0,1,0.48292815008885,0.46902077980066864,0.240625,0.2069452187513383,0.5443787519137882,1,early,
23,Test,0.0,1,0.41541833637099734,0.386176498717684,0.375,0.31664680851817845,0.6128661106528088,1,early,1.0
24,All,-3.572028967431291e-05,3,0.42618642459257877,0.39357777334176275,0.22,0.20367655785008776,0.5269062543874709,1,middle,
25,Training,-0.00015531567911784808,3,0.43697412346309106,0.41156919693682215,0.19375,0.18740788874285477,0.5228278317455718,1,middle,
26,Test,0.0,1,0.3830356291105295,0.3216120789615252,0.325,0.2687512342790196,0.5432199449550671,1,middle,1.0
