t,e_hat,Accuracy,pe,batch,Condition
0,0,0.5146707482884483,0.53792554502625,0,Blocked
1,0,0.4348053817586152,0.47552829017912324,0,Blocked
2,0,0.40742262310027905,0.7030231987780542,0,Blocked
3,0,0.4550833230979487,0.7386968085732231,0,Blocked
4,0,0.6972998479458099,0.6032207794566237,0,Blocked
5,0,0.867193119681225,0.842868395495662,0,Blocked
6,0,0.5040916020030697,0.7690797189360405,0,Blocked
7,0,0.7374588817420332,0.6665841184529913,0,Blocked
8,0,0.6079594801757764,0.6498844423232579,0,Blocked
9,0,0.5616064002258672,0.5748182871452471,0,Blocked
10,0,0.5498825783794205,0.5233703950706101,0,Blocked
11,0,0.7298046974916189,0.5790936051468724,0,Blocked
12,0,0.6636608174975112,0.4388716714708759,0,Blocked
13,0,0.5649497953624862,0.5580590433187513,0,Blocked
14,0,0.3224157463310598,0.5013881757338512,0,Blocked
15,0,0.8905837469172787,0.5946181644800221,0,Blocked
16,0,0.550484584454107,0.3426666330910812,0,Blocked
17,0,0.5126154052126962,0.8238076028076182,0,Blocked
18,0,0.7020333857884141,0.7671489267207852,0,Blocked
19,0,0.4193768977850213,0.451696198768857,0,Blocked
20,0,0.4919650487099981,0.6582682468488121,0,Blocked
21,0,0.5164249236016962,0.588131809210999,0,Blocked
22,0,0.7486964979448563,0.3882819788113303,0,Blocked
23,0,0.6745182512661023,0.6604827918052636,0,Blocked
24,0,0.579149064107798,0.5008822296233628,0,Blocked
25,0,0.45000316787250316,0.5233433657108438,0,Blocked
26,0,0.9235874066511918,0.6452167737635426,0,Blocked
27,0,0.8399949754439551,0.7037830512405541,0,Blocked
28,0,0.9086527841810949,0.37559363061519885,0,Blocked
29,0,0.6869234862735054,0.5547357585175697,0,Blocked
30,0,0.5826744373526137,0.6911634128784774,0,Blocked
31,0,0.32134830404656983,0.5115354821279596,0,Blocked
32,0,0.7574978446931921,0.5855076852140986,0,Blocked
33,0,0.6195684981144225,0.5378287199478563,0,Blocked
34,0,0.786088309134622,0.5456586073132531,0,Blocked
35,0,0.6748866546501707,0.6813451767273773,0,Blocked
36,0,0.7694670150103233,0.5628228613709947,0,Blocked
37,0,0.5515909855220595,0.8419045837645962,0,Blocked
38,0,0.18540725010446624,0.6747059361855823,0,Blocked
39,0,0.24782039658337798,0.8282406356535307,0,Blocked
40,0,0.26917565210286504,0.5989633794795228,0,Blocked
41,0,0.534197863056286,0.4970544448020629,0,Blocked
42,0,0.002007319358894721,1.0507561536596015,0,Blocked
43,0,0.17371702841021094,0.40485112686260327,0,Blocked
44,0,0.03211666188913385,0.9422691508290114,0,Blocked
45,0,0.7165293900810829,0.44920878110383333,0,Blocked
46,0,0.9679917595770557,0.40792722218346844,0,Blocked
47,0,0.736756721874871,0.3490328976248366,0,Blocked
48,0,0.9617959280701989,0.4605908210855688,0,Blocked
49,0,0.04370208756661472,0.5084865787253099,0,Blocked
50,0,0.673696155600156,0.35881407618299077,0,Blocked
51,0,0.4242334455697092,0.5157275542189266,0,Blocked
52,0,0.03814808967358147,0.6680736000371954,0,Blocked
53,0,0.9442179089108271,0.5027866813575446,0,Blocked
54,0,0.4940477577393031,0.5512024497919653,0,Blocked
55,0,0.5954435683237088,0.6617999099528649,0,Blocked
56,0,0.2902321204191983,0.3912917478379027,0,Blocked
57,0,0.05958392019615372,0.6683953245939491,0,Blocked
58,0,0.5323926032846775,0.5503483414151716,0,Blocked
59,0,0.3538368644035041,0.5798649612021972,0,Blocked
60,0,0.1549303011220287,0.5469029287052743,0,Blocked
61,0,0.49372026478160813,0.5115468494198628,0,Blocked
62,0,0.9904658457019577,0.5737345561858467,0,Blocked
63,0,0.942749507613291,0.5690717318696372,0,Blocked
64,0,0.18024904937241387,0.8112412287163088,0,Blocked
65,0,0.9987369997186367,0.4508602797399007,0,Blocked
66,0,0.8265120203358656,0.5666121493314173,0,Blocked
67,0,0.40696043954057776,0.7890762739877933,0,Blocked
68,0,0.9090161740028828,0.5481587657941261,0,Blocked
69,0,0.45694579644739347,0.48689546316579757,0,Blocked
70,0,0.4518649747703929,0.6101447053126936,0,Blocked
71,0,0.7899264488538383,0.4459265530596048,0,Blocked
72,0,0.4049273468023513,0.7711824503106585,0,Blocked
73,0,0.9698335103563633,0.5807565750329323,0,Blocked
74,0,0.9970942156868043,0.5975439961954285,0,Blocked
75,0,0.0556257913016914,0.7118828292725483,0,Blocked
76,0,0.14477414357504276,0.6535801679098856,0,Blocked
77,0,0.5672664443451388,0.6110545870831232,0,Blocked
78,0,0.8037357768893567,0.5142106775017602,0,Blocked
79,0,0.1549646171162541,0.7470248091540959,0,Blocked
80,0,0.44365922204621133,0.5517231385675413,0,Blocked
81,0,0.4941244688628458,0.8162482113949519,0,Blocked
82,0,0.34114517222202767,0.42372530845700473,0,Blocked
83,0,0.5640945937284039,0.4965782643973423,0,Blocked
84,0,0.49496542420226897,0.3764273463187362,0,Blocked
85,0,0.5007763266897537,0.5836677375846322,0,Blocked
86,0,0.522968588503521,0.4620125905317066,0,Blocked
87,0,0.7752044037152637,0.41687158659943774,0,Blocked
88,0,0.09185000788478878,0.6386075282339574,0,Blocked
89,0,0.7403574794495689,0.5893308041193371,0,Blocked
90,0,0.30745219461980205,0.558777521378846,0,Blocked
91,0,0.8927297241570793,0.6556098550924083,0,Blocked
92,0,0.5401061425421816,0.6095051313001125,0,Blocked
93,0,0.3203865143796645,0.5436942096331656,0,Blocked
94,0,0.7039625587980716,0.5669874980050087,0,Blocked
95,0,0.3380305136033268,0.6304644324381838,0,Blocked
96,0,0.7274386517696059,0.3811384816496374,0,Blocked
97,0,0.8026721401912406,0.5218306822222826,0,Blocked
98,0,0.7737711397128553,0.6211087816401292,0,Blocked
99,0,0.3838982777840205,0.539189168756663,0,Blocked
100,0,0.17719152099594612,0.6953490749271019,0,Blocked
101,0,0.23475516797865534,0.5106463696521333,0,Blocked
102,0,0.22050302275953726,0.6837931464964311,0,Blocked
103,0,0.7661395640999257,0.39992424883190913,0,Blocked
104,0,0.8854209873256313,0.6061358132386355,0,Blocked
105,0,0.49445535978387817,0.6578800419955773,0,Blocked
106,0,0.5359165828762454,0.5238012000052361,0,Blocked
107,0,0.12140254009352515,0.5695167092482057,0,Blocked
108,0,0.4892069679048444,0.7713398579364924,0,Blocked
109,0,0.043836150388146075,0.74109851355495,0,Blocked
110,0,0.6375562461638575,0.5268481925969208,0,Blocked
111,0,0.5588262189992036,0.6845790507001743,0,Blocked
112,0,0.5505430424145991,0.562147139812265,0,Blocked
113,0,0.5481693444927974,0.7259268405843846,0,Blocked
114,0,0.038820998599229384,0.7475656557987791,0,Blocked
115,0,0.1105983968987389,0.5515743978430234,0,Blocked
116,0,0.6691971985576237,0.5485666714709019,0,Blocked
117,0,0.31766586537003527,0.7869889559095089,0,Blocked
118,0,0.3614862892568219,0.5988941265273758,0,Blocked
119,0,0.5974498138955961,0.5628936255619591,0,Blocked
120,0,0.3398270913853346,0.4717749720277976,0,Blocked
121,0,0.7195028796239789,0.5742127803557457,0,Blocked
122,0,0.10799498730090165,0.6858854538875585,0,Blocked
123,0,0.6660687418343294,0.6425730620619887,0,Blocked
124,0,0.7323998125221233,0.6590865436647604,0,Blocked
125,0,0.5757841957614441,0.598504508729097,0,Blocked
126,0,0.9924912931676633,0.4462108543879398,0,Blocked
127,0,0.010330564655282568,0.667535438169907,0,Blocked
128,0,0.894024725459827,0.34514706378607246,0,Blocked
129,0,0.6377992794939481,0.7767937652636047,0,Blocked
130,0,0.13344802300551173,0.6572233312844833,0,Blocked
131,0,0.45843953250497127,0.46629285292974276,0,Blocked
132,0,0.23019957674721392,0.7411170259736921,0,Blocked
133,0,0.46724995674693165,0.5096441028284238,0,Blocked
134,0,0.7700587667777926,0.43501828547950194,0,Blocked
135,0,0.5041316278966437,0.595648287055948,0,Blocked
136,0,0.4382349193778961,0.5960181727045608,0,Blocked
137,0,0.31189561413653866,0.5467511396477648,0,Blocked
138,0,0.21712231386818953,0.6518908926215025,0,Blocked
139,0,0.9070727813968783,0.44803650325095734,0,Blocked
140,0,0.7762820809105526,0.44173632257043016,0,Blocked
141,0,0.15163335717663734,0.5416539289299139,0,Blocked
